Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
Weekly WWMA,CU28DCMEDPT-25,DC (CWW),,28,SWG,0.375,PT-25,COPPER WINDING 
CU (FG),CU28FCMEDPT-25,FC (CWW),,28,SWG,0.375,PT-25,COPPER WINDING 
Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
CU (FG),CU28HCMEDPT-25,HC (CWW),,28,SWG,0.375,PT-25,COPPER WINDING 
Weekly WWMA,CU28MPFINEPT-25,MP (CWW),,28,SWG,0.375,PT-25,COPPER WINDING 
PROV,CU28MPMEDPT-25,MP (CWW),,28,SWG,0.375,PT-25,COPPER WINDING 
CU (FG),CU28SSFINEPT-10,SS (CWW),,28,SWG,0.375,PT-10,COPPER WINDING 
CU (FG),CU28SSMEDPT-10,SS (CWW),,28,SWG,0.375,PT-10,COPPER WINDING 
CU (FG),CU29DCFINEPT-25,DC (CWW),,29,SWG,0.344,PT-25,COPPER WINDING 
Weekly WWMA PLUS 1,CU29DCMEDPT-25,DC (CWW),,29,SWG,0.344,PT-25,COPPER WINDING 
CU (FG),CU29FCMEDPT-25,FC (CWW),,29,SWG,0.344,PT-25,COPPER WINDING 
CU (FG),CU29HCMEDPT-25,HC (CWW),,29,SWG,0.344,PT-25,COPPER WINDING 
PROV,CU29MPMEDPT-25,MP (CWW),,29,SWG,0.344,PT-25,COPPER WINDING 
CU (FG),CU29SSFINEPT-10,SS (CWW),,29,SWG,0.344,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU29SSMEDPT-10,SS (CWW),,29,SWG,0.344,PT-10,COPPER WINDING 
CU (FG),CU2DCMEDPT-25,DC (CWW),,2,MM,2,PT-25,COPPER WINDING 
1.0957,CU2DCMEDPT-90,DC (CWW),,2,MM,2,PT-90,COPPER WINDING 
CU (FG),CU2HCMEDM-266,HC (CWW),,2,MM,2,M-266,COPPER WINDING 
Weekly WWMA PLUS 1,CU30DCMEDPT-10,DC (CWW),,30,SWG,0.315,PT-10,COPPER WINDING 
CU (FG),CU30DCMEDPT-25,DC (CWW),MED,30,SWG,0.315,PT-25,COPPER WINDING 
CU (FG),CU30FCMEDPT-10,FC (CWW),,30,SWG,0.315,PT-10,COPPER WINDING 
CU (FG),CU30HCMEDPT-10,HC (CWW),,30,SWG,0.315,PT-10,COPPER WINDING 
CU (FG),CU30MPFINEPT-10,MP (CWW),,30,SWG,0.315,PT-10,COPPER WINDING 
PROV,CU30MPMEDPT-10,MP (CWW),,30,SWG,0.315,PT-10,COPPER WINDING 
PROV,CU30MPMEDPT-25,MP (CWW),,30,SWG,0.315,PT-25,COPPER WINDING 
CU (FG),CU30SSFINEPT-10,SS (CWW),,30,SWG,0.315,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU30SSMEDPT-10,SS (CWW),,30,SWG,0.315,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU31DCMEDPT-10,DC (CWW),,31,SWG,0.293,PT-10,COPPER WINDING 
CU (FG),CU31DCMEDPT-25,DC (CWW),MED,31,SWG,0.294,PT-25,COPPER WINDING 
CU (FG),CU31FCMEDPT-10,FC (CWW),,31,SWG,0.293,PT-10,COPPER WINDING 
Weekly WWMA,CU31MPFINEPT-10,MP (CWW),,31,SWG,0.293,PT-10,COPPER WINDING 
PROV,CU31MPMEDPT-10,MP (CWW),,31,SWG,0.293,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU31SSMEDPT-10,SS (CWW),,31,SWG,0.293,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU32*2SSMEDPT-10,SS (CWW),,32,SWG,0.274,PT-10,COPPER WINDING 
CU (FG),CU32DCFINEPT-25,DC (CWW),,32,SWG,0.274,PT-25,COPPER WINDING 
Weekly WWMA PLUS 1,CU32DCMEDPT-25,DC (CWW),,32,SWG,0.274,PT-25,COPPER WINDING 
CU (FG),CU32FCMEDPT-25,FC (CWW),,32,SWG,0.274,PT-25,COPPER WINDING 
CU (FG),CU32HCMEDPT-25,HC (CWW),,32,SWG,0.274,PT-25,COPPER WINDING 
Weekly WWMA,CU32MPFINEPT-10,MP (CWW),,32,SWG,0.274,PT-10,COPPER WINDING 
PROV,CU32MPMEDPT-10,MP (CWW),,32,SWG,0.274,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU32SSFINEPT-10,SS (CWW),,32,SWG,0.274,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU32SSMEDPT-10,SS (CWW),,32,SWG,0.274,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU33*3SSMEDPT-10,SS (CWW),,33,SWG,0.254,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU33.5DCFINEPT-10,DC (CWW),,33,SWG,0.242,PT-10,COPPER WINDING 
CU (FG),CU33.5HCMEDPT-10,HC (CWW),,33,SWG,0.242,PT-10,COPPER WINDING 
CU (FG),CU33DCFINEPT-10,DC (CWW),,33,SWG,0.254,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU33DCMEDPT-10,DC (CWW),,33,SWG,0.254,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU33FCMEDPT-10,FC (CWW),,33,SWG,0.254,PT-10,COPPER WINDING 
CU (FG),CU33HCMEDPT-10,HC (CWW),,33,SWG,0.254,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU33MCFINEPT-25,MC (CWW),,33,SWG,0.254,PT-25,COPPER WINDING 
CU (FG),CU33MCMEDPT-25,MC (CWW),,33,SWG,0.254,PT-25,COPPER WINDING 
CU (FG),CU33MPFINEPT-10,MP (CWW),,33,SWG,0.254,PT-10,COPPER WINDING 
Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
PROV,CU33MPMEDPT-10,MP (CWW),,33,SWG,0.254,PT-10,COPPER WINDING 
CU (FG),CU33SSFINEPT-10,SS (CWW),,33,SWG,0.254,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU33SSMEDPT-10,SS (CWW),,33,SWG,0.254,PT-10,COPPER WINDING 
CU (FG),CU34.5HCMEDPT-10,HC (CWW),,34.5,SWG,0.223,PT-10,COPPER WINDING 
CU (FG),CU34.5MPMEDPT-10,MP (CWW),,34.5,SWG,0.223,PT-10,COPPER WINDING 
CU (FG),CU34.5SSMEDPT-10,SS (CWW),,34.5,SWG,0.223,PT-10,COPPER WINDING 
CU (FG),CU34AMPMEDPT-10,MP (CWW),,34,SWG,0.215,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU34FCMEDPT-10,FC (CWW),,34,SWG,0.233,PT-10,COPPER WINDING 
CU (FG),CU34HCMEDPT-10,HC (CWW),,34,SWG,0.233,PT-10,COPPER WINDING 
CU (FG),CU34MPFINEPT-10,MP (CWW),,34,SWG,0.233,PT-10,COPPER WINDING 
PROV,CU34MPMEDPT-10,MP (CWW),,34,SWG,0.233,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU34SSFINEPT-10,SS (CWW),,34,SWG,0.233,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU34SSMEDPT-10,SS (CWW),,34,SWG,0.233,PT-10,COPPER WINDING 
CU (FG),CU35*2SSMEDPT-10,SS (CWW),,35,SWG,0.212,PT-10,COPPER WINDING 
CU (FG),CU35.5*3SSMEDPT-10,SS (CWW),,35.5,SWG,0.203,PT-10,COPPER WINDING 
CU (FG),CU35.5FCMEDPT-10,FC (CWW),,35.5,SWG,0.203,PT-10,COPPER WINDING 
CU (FG),CU35.5MPFINEPT-10,MP (CWW),,35.5,SWG,0.203,PT-10,COPPER WINDING 
CU (FG),CU35.5MPMEDPT-10,MP (CWW),,35.5,SWG,0.203,PT-10,COPPER WINDING 
CU (FG),CU35.5MPMEDPT-25,MP (CWW),,35.5,SWG,0.203,PT-25,COPPER WINDING 
CU (FG),CU35FCMEDPT-10,FC (CWW),,35,SWG,0.212,PT-10,COPPER WINDING 
CU (FG),CU35HCMEDPT-10,HC (CWW),,35,SWG,0.212,PT-10,COPPER WINDING 
Weekly WWMA,CU35MPFINEPT-10,MP (CWW),,35,SWG,0.212,PT-10,COPPER WINDING 
PROV,CU35MPMEDPT-10,MP (CWW),,35,SWG,0.212,PT-10,COPPER WINDING 
CU (FG),CU35MPMEDPT-25,MP (CWW),,35,SWG,0.212,PT-25,COPPER WINDING 
CU (FG),CU35SSFINEPT-10,SS (CWW),,35,SWG,0.212,PT-10,COPPER WINDING 
Weekly 1.0585 PLUS 1,CU35SSMEDPT-10,SS (CWW),,35,SWG,0.212,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU36*3SSMEDPT-10,SS (CWW),,36,SWG,0.193,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU36*4SSMEDPT-10,SS (CWW),,36,SWG,0.193,PT-10,COPPER WINDING 
CU (FG),CU36*5SSMEDPT-10,SS (CWW),,36,SWG,0.193,PT-10,COPPER WINDING 
CU (FG),CU36.5MPMEDPT-10,MP (CWW),,36.5,SWG,0.182,PT-10,COPPER WINDING 
CU (FG),CU36.5SSMEDPT-10,SS (CWW),,36.5,SWG,0.182,PT-10,COPPER WINDING 
CU (FG),CU36AMPMEDPT-10,MP (CWW),,36,SWG,0.18,PT-10,COPPER WINDING 
CU (FG),CU36BAREPT-4,BARE,,36,SWG,0.193,PT-4,COPPER WIRE
CU (FG),CU36DCMEDPT-10,DC (CWW),,36,SWG,0.193,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU36FCMEDPT-10,FC (CWW),,36,SWG,0.193,PT-10,COPPER WINDING 
CU (FG),CU36HCMEDPT-10,HC (CWW),,36,SWG,0.193,PT-10,COPPER WINDING 
Weekly WWMA,CU36MPFINEPT-10,MP (CWW),,36,SWG,0.193,PT-10,COPPER WINDING 
PROV,CU36MPMEDPT-10,MP (CWW),,36,SWG,0.193,PT-10,COPPER WINDING 
CU (FG),CU36MPMEDPT-25,MP (CWW),,36,SWG,0.193,PT-25,COPPER WINDING 
CU (FG),CU36SSFINEPT-10,SS (CWW),,36,SWG,0.193,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU36SSMEDPT-10,SS (CWW),,36,SWG,0.193,PT-10,COPPER WINDING 
CU (FG),CU36SSNYLONMEDPT-10,SS (CWW),,36,SWG,0.193,PT-10,COPPER WINDING 
CU (FG),CU37*2SSMEDPT-10,SS (CWW),,37,SWG,0.171,PT-10,COPPER WINDING 
CU (FG),CU37*3SSFINEPT-10,SS (CWW),,37,SWG,0.171,PT-10,COPPER WINDING 
Weekly 1.0585 PLUS 1,CU37*3SSMEDPT-10,SS (CWW),,37,SWG,0.171,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU37*4SSMEDPT-10,SS (CWW),,37,SWG,0.172,PT-10,COPPER WINDING 
CU (FG),CU37.5SSMEDPT-10,SS (CWW),,37.5,SWG,0.162,PT-10,COPPER WINDING 
CU (FG),CU37DCMEDPT-10,DC (CWW),,37,SWG,0.171,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU37FCMEDPT-10,FC (CWW),,37,SWG,0.171,PT-10,COPPER WINDING 
Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
CU (FG),CU37HCMEDPT-10,HC (CWW),,37,SWG,0.171,PT-10,COPPER WINDING 
Weekly WWMA,CU37MPFINEPT-10,MP (CWW),,37,SWG,0.171,PT-10,COPPER WINDING 
PROV,CU37MPMEDPT-10,MP (CWW),,37,SWG,0.171,PT-10,COPPER WINDING 
CU (FG),CU37SSFINEPT-10,SS (CWW),,37,SWG,0.171,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU37SSMEDPT-10,SS (CWW),,37,SWG,0.171,PT-10,COPPER WINDING 
CU (FG),CU38*3SSFINEPT-10,SS (CWW),,38,SWG,0.152,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU38*3SSMEDPT-10,SS (CWW),,38,SWG,0.152,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU38*4SSMEDPT-10,SS (CWW),,38,SWG,0.152,PT-10,COPPER WINDING 
CU (FG),CU38*5SSMEDPT-10,SS (CWW),,38,SWG,0.152,PT-10,COPPER WINDING 
CU (FG),CU38*8SSMEDPT-10,SS (CWW),,38,SWG,0.152,PT-10,COPPER WINDING 
CU (FG),CU38.5DCMEDPT-4,DC (CWW),,38.5,SWG,0.141,PT-4,COPPER WINDING 
CU (FG),CU38.5MPMEDPT-4,MP (CWW),,38.5,SWG,0.141,PT-4,COPPER WINDING 
CU (FG),CU38.5SSFINEPT-4,SS (CWW),,38.5,SWG,0.141,PT-4,COPPER WINDING 
CU (FG),CU38DCMEDPT-4,DC (CWW),,38,SWG,0.152,PT-4,COPPER WINDING 
Weekly WWMA PLUS 1,CU38FCMEDPT-10,FC (CWW),,38,SWG,0.152,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU38HCFINEPT-10,HC (CWW),,38,SWG,0.152,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU38HCFINEPT-4,HC (CWW),,38,SWG,0.152,PT-4,COPPER WINDING 
CU (FG),CU38HCMEDPT-10,HC (CWW),,38,SWG,0.152,PT-10,COPPER WINDING 
CU (FG),CU38HCMEDPT-4,HC (CWW),,38,SWG,0.152,PT-4,COPPER WINDING 
Weekly WWMA,CU38MPFINEPT-10,MP (CWW),,38,SWG,0.152,PT-10,COPPER WINDING 
CU (FG),CU38MPMEDPT-10,MP (CWW),,38,SWG,0.152,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU38SSFINEPT-10,SS (CWW),,38,SWG,0.152,PT-10,COPPER WINDING 
CU (FG),CU38SSFINEPT-4,SS (CWW),,38,SWG,0.152,PT-4,COPPER WINDING 
Weekly WWMA PLUS 1,CU38SSMEDPT-10,SS (CWW),,38,SWG,0.152,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU38SSMEDPT-4,SS (CWW),,38,SWG,0.152,PT-4,COPPER WINDING 
CU (FG),CU39DCMEDPT-4,DC (CWW),,39,SWG,0.132,PT-4,COPPER WINDING 
Weekly WWMA PLUS 1,CU39HCFINEPT-10,HC (CWW),,39,SWG,0.132,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU39HCMEDPT-4,HC (CWW),,39,SWG,0.132,PT-4,COPPER WINDING 
CU (FG),CU39MPMEDPT-4,MP (CWW),,39,SWG,0.132,PT-4,COPPER WINDING 
CU (FG),CU39SSFINEPT-4,SS (CWW),,39,SWG,0.132,PT-4,COPPER WINDING 
CU (FG),CU39SSMEDPT-10,SS (CWW),,39,SWG,0.132,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU39SSMEDPT-4,SS (CWW),,39,SWG,0.132,PT-4,COPPER WINDING 
Weekly 1.0585 PLUS 1,CU40*10SSMEDPT-10,SS (CWW),,40,SWG,0.12,PT-10,COPPER WINDING 
CU (FG),CU40*3SSMEDPT-10,SS (CWW),,40,SWG,0.121,PT-10,COPPER WINDING 
CU (FG),CU40.5SSFINEPT-4,SS (CWW),,40.5,SWG,0.116,PT-4,COPPER WINDING 
CU (FG),CU40.5SSMEDPT-4,SS (CWW),,40.5,SWG,0.116,PT-4,COPPER WINDING 
CU (FG),CU40FCMEDPT-4,FC (CWW),,40,SWG,0.121,PT-4,COPPER WINDING 
CU (FG),CU40SSFINEPT-10,SS (CWW),,40,SWG,0.121,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU40SSFINEPT-4,SS (CWW),,40,SWG,0.121,PT-4,COPPER WINDING 
CU (FG),CU40SSMEDPT-10,SS (CWW),,40,SWG,0.121,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU40SSMEDPT-4,SS (CWW),,40,SWG,0.121,PT-4,COPPER WINDING 
CU (FG),CU41DCMEDPT-4,DC (CWW),,41,SWG,0.111,PT-4,COPPER WINDING 
CU (FG),CU41FCMEDPT-4,FC (CWW),,41,SWG,0.111,PT-4,COPPER WINDING 
CU (FG),CU41HCMEDPT-4,HC (CWW),,41,SWG,0.111,PT-4,COPPER WINDING 
Weekly WWMA PLUS 1,CU41SSFINEPT-4,SS (CWW),,41,SWG,0.111,PT-4,COPPER WINDING 
Weekly WWMA PLUS 1,CU41SSMEDPT-4,SS (CWW),,41,SWG,0.111,PT-4,COPPER WINDING 
Weekly 1.0585 PLUS 1,CU42*10SSFINEPT-10,SS (CWW),,42,SWG,0.101,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU42.5SSFINEPT-4,SS (CWW),,42.5,SWG,9.6000000000000002E-2,PT-4,COPPER WINDING 
CU (FG),CU42FCMEDPT-4,FC (CWW),,42,SWG,0.101,PT-4,COPPER WINDING 
Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
CU (FG),CU42HCFINEPT-4,HC (CWW),,42,SWG,0.101,PT-4,COPPER WINDING 
Weekly 1.0585 PLUS 1,CU42SSFINEPT-4,SS (CWW),,42,SWG,0.101,PT-4,COPPER WINDING 
Weekly WWMA PLUS 1,CU42SSMEDPT-4,SS (CWW),,42,SWG,0.101,PT-4,COPPER WINDING 
CU (FG),CU43SSFINEPT-4,SS (CWW),,43,SWG,9.0999999999999998E-2,PT-4,COPPER WINDING 
CU (FG),CU43SSMEDPT-4,SS (CWW),,43,SWG,9.0999999999999998E-2,PT-4,COPPER WINDING 
Weekly WWMA PLUS 1,CU44SSFINEPT-4,SS (CWW),,44,SWG,8.1000000000000003E-2,PT-4,COPPER WINDING 
Weekly WWMA PLUS 1,CU45SSFINEPT-4,SS (CWW),,45,SWG,7.0999999999999994E-2,PT-4,COPPER WINDING 
CU (FG),CU45SSMEDPT-4,SS (CWW),,45,SWG,7.0999999999999994E-2,PT-4,COPPER WINDING 
CU (FG),CU9DCMEDM-266,DC (CWW),,9,SWG,3.6579999999999999,M-266,COPPER WINDING 
CU (FG),cu0.15*4SSFinePT10,SS (CWW),FINE,0.15,MM,0.15,PT-10,COPPER WINDING 
CU (FG),cu0.8 BARE WIRE(jW),BARE,,,,,,
