Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,,Central Sales Tax Payable - 2.00%,Cst Purchase @1%,Cst Purchase @2%,Excise On Purchase 12.50%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,Narration,Net Amount
,,,,,,,,,BEARING - 6306,PCS,2.00,513.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,5.00,0.00,539.80
PB0000188,15-05-2015,V.S. Traders,,MRN-359 BILL 37,08-05-2015,,,INR,PIPE & PIPE FITTINGS,PCS,1.00,7084.00,0.00,150.00,0.00,0.00,0.00,0.00,0.00,283.00,0.00,71.00,0.00,7588.00
PB0000189,15-05-2015,PERFECT PACKERS,RCPT0000000092,,,,,INR,"TAPE- 1"" TRANSPARENT",PCS,1.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,30.00,0.00,3150.00
PB0000190,15-05-2015,Vikas Spool PVt. Ltd,RCPT0000000093,309,08-05-2015,MRN-372,09-05-2015,INR,PLAS SPOOL PT-25,PCS,1600.00,68400.00,0.00,0.00,0.00,0.00,1539.00,8550.00,0.00,0.00,0.00,0.00,0.00,78489.00
,,,,,,,,,PLASTIC SPOOL PT-20,PCS,520.00,20150.00,0.00,0.00,0.00,0.00,453.00,2519.00,0.00,0.00,0.00,0.00,0.00,23122.00
PB0000191,15-05-2015,Ganesh Electricals,,MRN-373 BILL 279,08-05-2015,,,INR,ELECTRICAL-MISC,PCS,1.00,1900.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,76.00,0.00,19.00,0.00,2095.00
,,,,,,,,,,,,8670.00,0.00,100.00,0.00,0.00,0.00,0.00,1084.00,0.00,130.00,0.00,0.00,9984.00
PB0000192,15-05-2015,Shri Balaji House Keeping Service,,MRN-377 BILL77,09-05-2015,,,INR,HOUSE KEEPING MACHINE SPARE PARTS,PCS,1.00,7663.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7663.00
PB0000193,15-05-2015,Arvind Bearing & Mill Store,RCPT0000000025,376,09-05-2015,MRN-380,09-05-2015,INR,BEARING- 6301-2Z,PCS,4.00,324.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,3.00,0.00,340.80
,,,,,,,,,BEARING- 6305,PCS,2.00,438.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,4.00,0.00,460.20
PB0000194,15-05-2015,Walson Woodburn Wire Die Pvt Ltd.,,MRN-381 BILL 135,06-05-2015,,,INR,DIES WIRE DRAWING PCD,PCS,1.00,10485.00,0.00,0.00,0.00,0.00,236.00,1311.00,0.00,0.00,0.00,0.00,0.00,12032.00
PB0000195,15-05-2015,BANSAL MACHINERY STORE,,MRN-388 BILL 96,10-05-2015,,,INR,"HAND TOOLS ( DRILL , TAP , DIE , TOOL BIT , FILE ETC. )",PCS,1.00,1490.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,15.00,0.00,1665.00
PB0000196,15-05-2015,Iskon Packaging Wood Works,RCPT0000000094,08,10-05-2015,MRN-390,10-05-2015,INR,WOODEN PALLET 37*37,PCS,25.00,12500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,0.00,125.00,0.00,13125.00
PB0000197,15-05-2015,Shri Balaji House Keeping Service,,MRN-391 BILL78,10-05-2015,,,INR,MISC. STATIONERY ITEMS,PCS,20.00,3000.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3100.00
PB0000198,15-05-2015,AGGARWAL SANITARY & HARDWARE STORE,,MRN-392 BILL 126,10-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,17925.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,717.00,0.00,179.00,0.00,19021.00
PB0000199,15-05-2015,LAXMAN SHARMA (SUPPLIERT),RCPT0000000095,19,10-05-2015,MRN-393,11-05-2015,INR,WOODEN PALLET 37*25.50,PCS,8.00,2960.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2960.00
,,,,,,,,,WOODEN PALLET 37*37,PCS,5.00,2800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2800.00
PB0000200,15-05-2015,LAXMAN SHARMA (SUPPLIERT),RCPT0000000096,20,11-05-2015,MRN-394,11-05-2015,INR,WOODEN PALLET 37*25.50,PCS,2.00,740.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,990.00
,,,,,,,,,WOODEN PALLET 37*37,PCS,30.00,15600.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15850.00
PB0000201,15-05-2015,Savitri Enterprises,,MRN-395 BILL 221,11-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,35535.00,0.00,400.00,0.00,0.00,0.00,0.00,0.00,1421.00,0.00,355.00,0.00,37711.00
PB0000202,15-05-2015,Iskon Packaging Wood Works,RCPT0000000097,09,11-05-2015,MRN-396,11-05-2015,INR,WOODEN PALLET 44*33,PCS,25.00,13250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,530.00,0.00,133.00,0.00,13913.00
PB0000203,15-05-2015,Fuming Beverages,,MRN-397 BILL 228,11-05-2015,,,INR,TEA & COFFEE,KG,32.00,6080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6080.00
PB0000205,15-05-2015,Iskon Packaging Wood Works,RCPT0000000098,10,12-05-2015,MRN-405,12-05-2015,INR,WOODEN PALLET 37*25.50,PCS,25.00,11000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,440.00,0.00,110.00,0.00,11550.00
,,,,,,,,,WOODEN PALLET 37*37,PCS,25.00,12500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,0.00,125.00,0.00,13125.00
 Total :,,,,,,,,,,,708076.12,214358146.03,81299.60,,65.00,745674.00,107393.00,26238207.00,29126.00,6282647.00,3495.00,1570667.00,0.00,249599809.42
